no,result,pdf_page,pdf_product_name,pdf_code,pdf_capacity,pdf_lot_text,pdf_quantity,pdf_line,db_page,db_lot_code,db_display_name,db_code,db_capacity,db_lot_text,db_quantity,db_line
21,??,7,安芸虎 純米大吟醸 斗瓶取り,551,1800,21ｂｙ（山田）北G左①下2 1本.8/30.,1,551 1800 21ｂｙ（山田）北G左①下2 1本.8/30. 1,7,OPEN-20260701-551-0021,安芸虎 純米大吟醸 斗瓶取り 1800ml 21ｂｙ（山田）北G左①下2 1本.8/30.,551,1800,21ｂｙ（山田）北G左①下2 1本.8/30.,1,551 1800 21ｂｙ（山田）北G左①下2 1本.8/30. 1
22,??,7,安芸虎 純米大吟醸 斗瓶取り,553,720,23ｂ吟40.北G（Nｽﾍﾟ隣）1本”ｵﾘあり.1,1,553 720 23ｂ吟40.北G（Nｽﾍﾟ隣）1本”ｵﾘあり.1 1,7,OPEN-20260701-553-0022,安芸虎 純米大吟醸 斗瓶取り 720ml 23ｂ吟40.北G（Nｽﾍﾟ隣）1本”ｵﾘあり.1,553,720,23ｂ吟40.北G（Nｽﾍﾟ隣）1本”ｵﾘあり.1,1,553 720 23ｂ吟40.北G（Nｽﾍﾟ隣）1本”ｵﾘあり.1 1
23,??,7,安芸虎 純米大吟醸 斗瓶取り,553,720,北G22ｂｙ”ｵﾘあり山40.3本＝黄ｹｯﾄ8/,3,553 720 北G22ｂｙ”ｵﾘあり山40.3本＝黄ｹｯﾄ8/ 3,7,OPEN-20260701-553-0023,安芸虎 純米大吟醸 斗瓶取り 720ml 北G22ｂｙ”ｵﾘあり山40.3本＝黄ｹｯﾄ8/,553,720,北G22ｂｙ”ｵﾘあり山40.3本＝黄ｹｯﾄ8/,3,553 720 北G22ｂｙ”ｵﾘあり山40.3本＝黄ｹｯﾄ8/ 3
24,??,7,安芸虎 純米大吟醸,2121,1800,北G左①上三種混載24ｂ山40.1本8/3,1,安芸虎 純米大吟醸 2121 1800 北G左①上三種混載24ｂ山40.1本8/3 1,7,OPEN-20260701-2121-0024,安芸虎 純米大吟醸 1800ml 北G左①上三種混載24ｂ山40.1本8/3,2121,1800,北G左①上三種混載24ｂ山40.1本8/3,1,安芸虎 純米大吟醸 2121 1800 北G左①上三種混載24ｂ山40.1本8/3 1
25,??,7,安芸虎 純米大吟醸,2121,1800,固.北4合隣/詰替R5.4/30～ 1本 12/,2,2121 1800 固.北4合隣/詰替R5.4/30～ 1本 12/ 2,7,OPEN-20260701-2121-0025,安芸虎 純米大吟醸 1800ml 固.北4合隣/詰替R5.4/30～ 1本 12/,2121,1800,固.北4合隣/詰替R5.4/30～ 1本 12/,2,2121 1800 固.北4合隣/詰替R5.4/30～ 1本 12/ 2
26,??,8,安芸虎 純米大吟醸,2123,720,R5のみ北西央計136＝7+2）*15+1 1,82,2123 720 R5のみ北西央計136＝7+2）*15+1 1 82,8,OPEN-20260701-2123-0026,安芸虎 純米大吟醸 720ml R5のみ北西央計136＝7+2）*15+1 1,2123,720,R5のみ北西央計136＝7+2）*15+1 1,82,2123 720 R5のみ北西央計136＝7+2）*15+1 1 82
27,??,8,安芸虎純米大吟醸＜生原酒＞,2141,1800,28ｂｙ南中央通路 13本.9/6 青P,13,安芸虎純米大吟醸＜生原酒＞ 2141 1800 28ｂｙ南中央通路 13本.9/6 青P 13,8,OPEN-20260701-2141-0027,安芸虎純米大吟醸＜生原酒＞ 1800ml 28ｂｙ南中央通路 13本.9/6 青P,2141,1800,28ｂｙ南中央通路 13本.9/6 青P,13,安芸虎純米大吟醸＜生原酒＞ 2141 1800 28ｂｙ南中央通路 13本.9/6 青P 13
28,??,8,安芸虎純米大吟醸＜生原酒＞,2143,720,28ｂｙ南通路G（1.8と混載）3本 8/30,3,2143 720 28ｂｙ南通路G（1.8と混載）3本 8/30 3,8,OPEN-20260701-2143-0028,安芸虎純米大吟醸＜生原酒＞ 720ml 28ｂｙ南通路G（1.8と混載）3本 8/30,2143,720,28ｂｙ南通路G（1.8と混載）3本 8/30,3,2143 720 28ｂｙ南通路G（1.8と混載）3本 8/30 3
29,??,8,安芸虎純米大吟醸（赤),521,1800,R5南西G山40*雄町 2本.青P? 1/10,1,521 1800 R5南西G山40*雄町 2本.青P? 1/10 1,8,OPEN-20260701-521-0029,安芸虎純米大吟醸（赤) 1800ml R5南西G山40*雄町 2本.青P? 1/10,521,1800,R5南西G山40*雄町 2本.青P? 1/10,1,521 1800 R5南西G山40*雄町 2本.青P? 1/10 1
30,??,8,安芸虎純米大吟醸（赤),523,720,今R5山50*雄町28b南東半.計26＝15,11,523 720 今R5山50*雄町28b南東半.計26＝15 11,8,OPEN-20260701-523-0030,安芸虎純米大吟醸（赤) 720ml 今R5山50*雄町28b南東半.計26＝15,523,720,今R5山50*雄町28b南東半.計26＝15,11,523 720 今R5山50*雄町28b南東半.計26＝15 11
31,??,9,安芸虎 大吟醸,221,1800,初期詳細名,1,安芸虎 大吟醸 221 1800 初期詳細名 1,9,OPEN-20260701-221-0031,安芸虎 大吟醸 1800ml 初期詳細名,221,1800,初期詳細名,1,安芸虎 大吟醸 221 1800 初期詳細名 1
32,??,9,安芸虎 大吟醸,223,720,初期.あまり使わない,2,223 720 初期.あまり使わない 2,9,OPEN-20260701-223-0032,安芸虎 大吟醸 720ml 初期.あまり使わない,223,720,初期.あまり使わない,2,223 720 初期.あまり使わない 2
33,??,9,安芸虎 朝日 純米吟醸,2521,1800,本R7北西半.計473＝9面*（3+3）+9面,473,2521 1800 本R7北西半.計473＝9面*（3+3）+9面 473,9,OPEN-20260701-2521-0033,安芸虎 朝日 純米吟醸 1800ml 本R7北西半.計473＝9面*（3+3）+9面,2521,1800,本R7北西半.計473＝9面*（3+3）+9面,473,2521 1800 本R7北西半.計473＝9面*（3+3）+9面 473
34,??,9,安芸虎 朝日 純米吟醸,2521,1800,16.5％”29ｂ.3本南西（素0.33隣）8/30.,3,2521 1800 16.5％”29ｂ.3本南西（素0.33隣）8/30. 3,9,OPEN-20260701-2521-0034,安芸虎 朝日 純米吟醸 1800ml 16.5％”29ｂ.3本南西（素0.33隣）8/30.,2521,1800,16.5％”29ｂ.3本南西（素0.33隣）8/30.,3,2521 1800 16.5％”29ｂ.3本南西（素0.33隣）8/30. 3
35,??,9,安芸虎 朝日 純米吟醸,2523,720,本R7北西計1038＝5面*（4*2）+5面*2,1038,2523 720 本R7北西計1038＝5面*（4*2）+5面*2 1038,9,OPEN-20260701-2523-0035,安芸虎 朝日 純米吟醸 720ml 本R7北西計1038＝5面*（4*2）+5面*2,2523,720,本R7北西計1038＝5面*（4*2）+5面*2,1038,2523 720 本R7北西計1038＝5面*（4*2）+5面*2 1038
36,??,10,2711AK-30 1800 初期詳細名 0,2703,720,23ｂｙ.3本.南通路G（赤1.8の下）8/10,3,2703 720 23ｂｙ.3本.南通路G（赤1.8の下）8/10 3,10,OPEN-20260701-2703-0036,2711AK-30 1800 初期詳細名 0 720ml 23ｂｙ.3本.南通路G（赤1.8の下）8/10,2703,720,23ｂｙ.3本.南通路G（赤1.8の下）8/10,3,2703 720 23ｂｙ.3本.南通路G（赤1.8の下）8/10 3
37,??,10,安芸虎夏純吟,2641,1800,R7北東入口計480＝9面*6+9面*2+8）,227,2641 1800 R7北東入口計480＝9面*6+9面*2+8） 227,10,OPEN-20260701-2641-0037,安芸虎夏純吟 1800ml R7北東入口計480＝9面*6+9面*2+8）,2641,1800,R7北東入口計480＝9面*6+9面*2+8）,227,2641 1800 R7北東入口計480＝9面*6+9面*2+8） 227
38,??,10,安芸虎夏純吟,2643,720,ｷｰﾌﾟ＜R4＞南西.計52本 10/10 山,40,2643 720 ｷｰﾌﾟ＜R4＞南西.計52本 10/10 山 40,10,OPEN-20260701-2643-0038,安芸虎夏純吟 720ml ｷｰﾌﾟ＜R4＞南西.計52本 10/10 山,2643,720,ｷｰﾌﾟ＜R4＞南西.計52本 10/10 山,40,2643 720 ｷｰﾌﾟ＜R4＞南西.計52本 10/10 山 40
39,??,10,安芸虎夏純吟,2643,720,R7北東入口計1057＝5面*（4*2+2）+2,679,2643 720 R7北東入口計1057＝5面*（4*2+2）+2 679,10,OPEN-20260701-2643-0039,安芸虎夏純吟 720ml R7北東入口計1057＝5面*（4*2+2）+2,2643,720,R7北東入口計1057＝5面*（4*2+2）+2,679,2643 720 R7北東入口計1057＝5面*（4*2+2）+2 679
40,??,11,安芸虎 雄町 純米大吟醸,2071,1800,今28ｂ北.西手前.丸173＝7*2+5*2+4）,163,2071 1800 今28ｂ北.西手前.丸173＝7*2+5*2+4） 163,11,OPEN-20260701-2071-0040,安芸虎 雄町 純米大吟醸 1800ml 今28ｂ北.西手前.丸173＝7*2+5*2+4）,2071,1800,今28ｂ北.西手前.丸173＝7*2+5*2+4）,163,2071 1800 今28ｂ北.西手前.丸173＝7*2+5*2+4） 163
41,??,11,安芸虎 雄町 純米大吟醸,2071,1800,まだR2南西82/4合前.計34 12/13,28,2071 1800 まだR2南西82/4合前.計34 12/13 28,11,OPEN-20260701-2071-0041,安芸虎 雄町 純米大吟醸 1800ml まだR2南西82/4合前.計34 12/13,2071,1800,まだR2南西82/4合前.計34 12/13,28,2071 1800 まだR2南西82/4合前.計34 12/13 28
42,??,11,安芸虎 雄町 純米大吟醸,2073,720,R2詰替のみ計18＝13+5 1/10 （R,11,2073 720 R2詰替のみ計18＝13+5 1/10 （R 11,11,OPEN-20260701-2073-0042,安芸虎 雄町 純米大吟醸 720ml R2詰替のみ計18＝13+5 1/10 （R,2073,720,R2詰替のみ計18＝13+5 1/10 （R,11,2073 720 R2詰替のみ計18＝13+5 1/10 （R 11
43,??,11,安芸虎 雄町82%純米,2101,1800,固←R1北東入口.計203＝5*6+3）*6+,9,2101 1800 固←R1北東入口.計203＝5*6+3）*6+ 9,11,OPEN-20260701-2101-0043,安芸虎 雄町82%純米 1800ml 固←R1北東入口.計203＝5*6+3）*6+,2101,1800,固←R1北東入口.計203＝5*6+3）*6+,9,2101 1800 固←R1北東入口.計203＝5*6+3）*6+ 9
44,??,11,安芸虎 雄町82%純米,2103,720,R4のみ南西奥.計664＝3*9+4+2）*20,388,2103 720 R4のみ南西奥.計664＝3*9+4+2）*20 388,11,OPEN-20260701-2103-0044,安芸虎 雄町82%純米 720ml R4のみ南西奥.計664＝3*9+4+2）*20,2103,720,R4のみ南西奥.計664＝3*9+4+2）*20,388,2103 720 R4のみ南西奥.計664＝3*9+4+2）*20 388
45,??,11,安芸虎 雄町82%純米,2105,300,詰替R1南つきあ.82/4合東隣地べた.4,4,2105 300 詰替R1南つきあ.82/4合東隣地べた.4 4,11,OPEN-20260701-2105-0045,安芸虎 雄町82%純米 300ml 詰替R1南つきあ.82/4合東隣地べた.4,2105,300,詰替R1南つきあ.82/4合東隣地べた.4,4,2105 300 詰替R1南つきあ.82/4合東隣地べた.4 4
46,??,11,安芸虎雄町 純米大吟醸 原酒,2093,720,”下関大丸/南通路G予約あと28本8/,27,2093 720 ”下関大丸/南通路G予約あと28本8/ 27,11,OPEN-20260701-2093-0046,安芸虎雄町 純米大吟醸 原酒 720ml ”下関大丸/南通路G予約あと28本8/,2093,720,”下関大丸/南通路G予約あと28本8/,27,2093 720 ”下関大丸/南通路G予約あと28本8/ 27
47,??,11,安芸虎 熟成雄町＜無濾過生原酒＞純米大吟醸,2083,720,南西半.野町含.一般.計121 1/10 （2,28,2083 720 南西半.野町含.一般.計121 1/10 （2 28,11,OPEN-20260701-2083-0047,安芸虎 熟成雄町＜無濾過生原酒＞純米大吟醸 720ml 南西半.野町含.一般.計121 1/10 （2,2083,720,南西半.野町含.一般.計121 1/10 （2,28,2083 720 南西半.野町含.一般.計121 1/10 （2 28
48,??,11,安芸虎雄町ひやおろし純吟,5071,1800,R6南西計78＝5+4*2）*6 1/10 （R2.,78,安芸虎雄町ひやおろし純吟 5071 1800 R6南西計78＝5+4*2）*6 1/10 （R2. 78,11,OPEN-20260701-5071-0048,安芸虎雄町ひやおろし純吟 1800ml R6南西計78＝5+4*2）*6 1/10 （R2.,5071,1800,R6南西計78＝5+4*2）*6 1/10 （R2.,78,安芸虎雄町ひやおろし純吟 5071 1800 R6南西計78＝5+4*2）*6 1/10 （R2. 78
