no,result,pdf_page,pdf_product_name,pdf_code,pdf_capacity,pdf_lot_text,pdf_quantity,pdf_line,db_page,db_lot_code,db_display_name,db_code,db_capacity,db_lot_text,db_quantity,db_line
63,??,12,玉川原酒,33,720,生21BY.1本南西半壁.混載琴0.72 8/,1,33 720 生21BY.1本南西半壁.混載琴0.72 8/ 1,12,OPEN-20260701-33-0063,玉川原酒 720ml 生21BY.1本南西半壁.混載琴0.72 8/,33,720,生21BY.1本南西半壁.混載琴0.72 8/,1,33 720 生21BY.1本南西半壁.混載琴0.72 8/ 1
64,??,13,琴ヶ浜,43,720,19ｂｙねじ栓/生.南西半壁5本.8/30,5,43 720 19ｂｙねじ栓/生.南西半壁5本.8/30 5,13,OPEN-20260701-43-0064,琴ヶ浜 720ml 19ｂｙねじ栓/生.南西半壁5本.8/30,43,720,19ｂｙねじ栓/生.南西半壁5本.8/30,5,43 720 19ｂｙねじ栓/生.南西半壁5本.8/30 5
65,??,13,琴ヶ浜,43,720,20BY1本南西半壁（19ｂｙと混載）8/30,1,43 720 20BY1本南西半壁（19ｂｙと混載）8/30 1,13,OPEN-20260701-43-0065,琴ヶ浜 720ml 20BY1本南西半壁（19ｂｙと混載）8/30,43,720,20BY1本南西半壁（19ｂｙと混載）8/30,1,43 720 20BY1本南西半壁（19ｂｙと混載）8/30 1
66,??,13,玉川 純米大吟醸,121,1800,11ｂｙ山35.北G1本8/30 黄P,1,玉川 純米大吟醸 121 1800 11ｂｙ山35.北G1本8/30 黄P 1,13,OPEN-20260701-121-0066,玉川 純米大吟醸 1800ml 11ｂｙ山35.北G1本8/30 黄P,121,1800,11ｂｙ山35.北G1本8/30 黄P,1,玉川 純米大吟醸 121 1800 11ｂｙ山35.北G1本8/30 黄P 1
67,??,14,玉川 吟醸,251,1800,南.西奥/82前 2本 4/11 赤P,2,玉川 吟醸 251 1800 南.西奥/82前 2本 4/11 赤P 2,14,OPEN-20260701-251-0067,玉川 吟醸 1800ml 南.西奥/82前 2本 4/11 赤P,251,1800,南.西奥/82前 2本 4/11 赤P,2,玉川 吟醸 251 1800 南.西奥/82前 2本 4/11 赤P 2
68,??,14,玉川 金賞酒大吟醸,5001,1800,北G左②下段.9本 8/30,9,玉川 金賞酒大吟醸 5001 1800 北G左②下段.9本 8/30 9,14,OPEN-20260701-5001-0068,玉川 金賞酒大吟醸 1800ml 北G左②下段.9本 8/30,5001,1800,北G左②下段.9本 8/30,9,玉川 金賞酒大吟醸 5001 1800 北G左②下段.9本 8/30 9
69,??,15,赤野 吟の夢40% 純米大吟醸,71,1800,北G①中上14ｂｙ.2本 8/30,2,71 1800 北G①中上14ｂｙ.2本 8/30 2,15,OPEN-20260701-71-0069,赤野 吟の夢40% 純米大吟醸 1800ml 北G①中上14ｂｙ.2本 8/30,71,1800,北G①中上14ｂｙ.2本 8/30,2,71 1800 北G①中上14ｂｙ.2本 8/30 2
70,??,15,赤野 吟の夢50% 純米吟醸,91,1800,R7北東半.後方.計318＝9面*6）-1｝*6,243,赤野 吟の夢50% 純米吟醸 91 1800 R7北東半.後方.計318＝9面*6）-1｝*6 243,15,OPEN-20260701-91-0070,赤野 吟の夢50% 純米吟醸 1800ml R7北東半.後方.計318＝9面*6）-1｝*6,91,1800,R7北東半.後方.計318＝9面*6）-1｝*6,243,赤野 吟の夢50% 純米吟醸 91 1800 R7北東半.後方.計318＝9面*6）-1｝*6 243
71,??,15,赤野 吟の夢50% 純米吟醸,93,720,R7北東半.計1919＝5面*（4+3）｝*20+,1427,93 720 R7北東半.計1919＝5面*（4+3）｝*20+ 1427,15,OPEN-20260701-93-0071,赤野 吟の夢50% 純米吟醸 720ml R7北東半.計1919＝5面*（4+3）｝*20+,93,720,R7北東半.計1919＝5面*（4+3）｝*20+,1427,93 720 R7北東半.計1919＝5面*（4+3）｝*20+ 1427
72,??,15,赤野 吟の夢50% 純米吟醸,95,300,R7北東半.計800＝5面*3+2）*45+35,726,95 300 R7北東半.計800＝5面*3+2）*45+35 726,15,OPEN-20260701-95-0072,赤野 吟の夢50% 純米吟醸 300ml R7北東半.計800＝5面*3+2）*45+35,95,300,R7北東半.計800＝5面*3+2）*45+35,726,95 300 R7北東半.計800＝5面*3+2）*45+35 726
